metodo,rmse_holdout_antes,rmse_holdout_depois,rmse_holdout_variacao_pct,mae_holdout_antes,mae_holdout_depois,mae_holdout_variacao_pct,r2_holdout_antes,r2_holdout_depois,r2_holdout_variacao_pct,tendencia_mgL_ano_antes,tendencia_mgL_ano_depois,tendencia_mgL_ano_variacao_pct,forecast_10y_antes,forecast_10y_depois,forecast_10y_variacao_pct,forecast_15y_antes,forecast_15y_depois,forecast_15y_variacao_pct,forecast_20y_antes,forecast_20y_depois,forecast_20y_variacao_pct
sarima,48.37718264228132,52.06612126591062,7.625368866365507,38.37766289946543,43.33964419614956,12.929347234308127,-0.4886747647052512,-0.7243647343193502,-48.230435994839574,10.43427854074785,6.233188982794912,-40.26238653249366,815.7925611763861,769.5236924656058,-5.671646312153162,868.967035324927,811.0552723251616,-6.664437273861702,922.141509473468,852.5869745509541,-7.542718141191661
random_forest,40.985827074196536,39.97919968348473,-2.456037763711614,34.0943431872343,32.97272456709962,-3.2897498977327198,-0.0685284452350911,-0.016686070313584267,75.65088445193575,-0.2483083733615092,-0.6964445807415582,-180.4756727746804,704.347353627575,701.5786720207897,-0.3930846893263501,704.347353627575,701.1044459505636,-0.4604131271750507,704.347353627575,701.5786720207897,-0.3930846893263501
xgboost,49.52464713481688,42.699206814999314,-13.78190600982422,39.75313186645508,33.775169372558594,-15.03771454782126,-0.5601323843002319,-0.15973375129197898,71.48285730853915,-0.907158501878928,-1.8747535814186858,-106.66218500247223,649.60791015625,673.3617553710938,3.656643468077574,717.5686645507812,673.3617553710938,-6.160652124819623,649.60791015625,673.3617553710938,3.656643468077574
lightgbm,44.41850483257356,43.73271891130206,-1.5439194179462636,37.69863787304582,37.004508759785146,-1.8412578077707369,-0.25500816892097,-0.21655469397434302,15.079311031225892,-0.5093268206681416,-0.892397271519993,-75.21112875016765,703.5298657430666,699.1490387909561,-0.6226923923810244,703.5298657430666,699.1490387909561,-0.6226923923810244,703.5298657430666,699.1490387909561,-0.6226923923810244
prophet,48.9656650729859,58.00122465991736,18.452847670839326,40.47328315358417,49.02768357289614,21.13591918612222,-0.5251129071959277,-1.139897681960349,-117.07668319320813,3.810618354338844,-4.425967546075313,-216.14827659232319,636.8874689536251,640.65303763644,0.5912455286648255,625.8728731208196,634.3408573950162,1.3529879050313065,604.8189667747031,627.9585586492894,3.8258707391373736
regressao_bayesiana,49.29045059889449,50.36798573140877,2.186093085824727,39.40477280117919,41.092613591781635,4.283341003179022,-0.5454119210137525,-0.6137187601369065,-12.5238991836102,3.7420048006760407,2.8306751314414815,-24.35404863911227,758.2095854418662,708.2033714353904,-6.595302270853436,778.7281343817336,724.0189685841499,-7.0254512945034095,797.6584312375343,738.1753783325548,-7.457208571429996
svr,38.862433438513975,39.42440662440098,1.4460576350066414,31.22482003245004,32.494276527887614,4.065536627971931,0.0393201895996526,0.011335336015513287,-71.17171577521223,-1.739879462614203,-0.30033457076451886,82.73819668442661,707.6009037349594,724.0899952716908,2.3302812997688855,704.0049194261537,714.721855671289,1.5222814428442895,702.9697269204383,709.9348500226457,0.9908140899210699
detrend_rf,49.81481876286093,55.500243271541144,11.413118927010812,41.35406038956585,44.37186755575498,7.297486964425288,-0.5784680309309536,-0.9593339096170461,-65.84043686444498,3.743706712541596,3.743706712541596,0.0,743.4910091350504,746.6259289295546,0.42164864887219466,762.2095426977584,765.3444624922626,0.4112936953542296,780.9280762604664,784.0629960549705,0.40143515002252034
hibrido_arima_prophet,46.39794287761784,54.29991706420472,17.03087183720544,37.405281941571296,45.31180245984131,21.137443986173793,-0.36935525579021,-0.875499763753681,-137.03460287321752,3.764605515278371,0.903610718359799,-75.99720037882955,714.3921160886798,705.088365051023,-1.302331146737062,738.9110697999715,722.6980648600888,-2.1941754024975793,763.4802381240854,740.2727666001217,-3.0396951178442797
gam,61.87476410571555,59.766330542358816,-3.4075823865031456,51.68554507246838,50.89135703314812,-1.5365766931677487,-1.4352625699450223,-1.272123146949121,11.366521109942301,9.446843495086318,-2.6073881817530684,-127.60062853914405,576.5470883183436,675.5549585097154,17.172555754319248,520.8188461830523,679.029167921598,30.37722672634228,465.09060404776096,682.5035758403037,46.746369395632044
regressao_quantilica_q50,67.93602188163422,49.88448369327029,-26.571379495572096,58.06342418076201,40.52715777397902,-30.2019156710245,,,,3.4920823473912823,2.9554743443301836,-15.366418935165294,759.9002069981814,714.8238924823212,-5.9318729091974145,777.3606187351378,729.601048649339,-6.1438113707778985,794.8210304720942,744.3784201149474,-6.346411131973416
espaco_estados_dlm,50.155654604906594,53.91413695602598,7.493636322217796,39.57615813110223,44.682478217248814,12.902515876430186,-0.6001418622154626,-0.8489450160775771,-41.45739024830588,8.325269617455959,3.2592156889746233,-60.851529875490364,785.139510313921,730.8174942382624,-6.918772442612037,826.7658578894938,757.7922491834646,-8.342580677206463,868.3922054650665,784.7671312010305,-9.62987389082456
