serie_pdsi,lag_melhor_correlacao_meses,r_bruta,p_bruta_dof_efetivo,n_efetivo_bruta,r_destendenciada_mesmo_lag,p_destendenciada_mesmo_lag,lmg_r2_total,lmg_r2_so_pdsi,lmg_r2_so_vazao,lmg_lmg_pdsi,lmg_lmg_vazao,lmg_pct_pdsi,lmg_pct_vazao,lmg_n,lmg_lag_pdsi_usado_meses,lmg_coef_pdsi,lmg_p_pdsi,lmg_coef_vazao,lmg_p_vazao,regime_coef_pdsi_intra_regime,regime_p_pdsi_intra_regime,regime_r2_com_regime_e_pdsi,regime_n,n_changepoints_detectados,changepoints_dentro_12m_de_4,data_execucao
california_estadual,4,-0.6510855786552144,0.0002907810343975026,26.277802332052204,-0.09051201717192212,0.23087299696305053,0.5217005084311759,0.4453692223319996,0.1393789265513572,0.41384540210590914,0.10785510632526674,79.3262409021602,20.673759097839802,182,4,-19.134412878529073,1.3050203189055394e-24,-7.868756160787653,2.731619903669801e-07,-18.545923312898104,1.037532857538731e-14,0.48232390076743425,182,4,3,2026-08-14T12:40:42
los_angeles_divisao6,3,-0.5261196366117324,0.012576489319836126,21.697149684724092,-0.021601020181265078,0.7747275834948257,0.4353168817364498,0.2916204957442996,0.1393789265513572,0.2937792254646961,0.1415376562717537,67.48629281107374,32.51370718892626,182,3,-12.96120776232965,4.198612979706319e-18,-10.674619085094017,1.9955892946919727e-10,-14.039297940767371,1.340983603768374e-12,0.45336164895104114,182,4,4,2026-08-14T12:40:42
sacramento_divisao2,4,-0.5628149071073614,0.001158427397747852,30.190934845525753,-0.10049741401263114,0.18321203217466353,0.4274778615890754,0.3323277849462286,0.1393789265513572,0.3102133599919734,0.117264501597102,72.56828665671915,27.43171334328084,182,4,-19.02314704413855,1.4609466507697394e-17,-8.744987377971928,1.6164752591086664e-07,-15.768734663163121,2.2703487841668877e-08,0.39079759341346865,182,4,4,2026-08-14T12:40:42
