Location;Parameter;Analytical Method;Calculated Method;Qual;Result;Units;MDL;ML;RL;Sampling Date;Sampling Time;Analysis Date;Analysis Time;Review Priority Indicator;QA Codes;Comments;Facility Name;Report Name;Latitude;Longitude;Receiving Water Body
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;64535;lb/day;;;;2011-06-30;00:00:00;2011-06-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for June 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;580;mg/L;25,0;25,0;25,0;2011-06-04;00:00:00;2011-06-07;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for June 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Daily Discharge;=;51431;lb/day;;;;2011-07-06;00:00:00;2011-07-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for July 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;51431;lb/day;;;;2011-07-31;00:00:00;2011-07-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for July 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;580;mg/L;25,0;;25,0;2011-06-30;00:00:00;2011-06-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for June 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;564;mg/L;25,0;25,0;25,0;2011-07-06;00:00:00;2011-07-07;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for July 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Daily Discharge;=;52124;lb/day;;;;2011-08-01;00:00:00;2011-08-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for August 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;564;mg/L;25,0;;25,0;2011-07-31;00:00:00;2011-07-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for July 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;52124;lb/day;;;;2011-08-31;00:00:00;2011-08-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for August 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;528;mg/L;25,0;25,0;25,0;2011-08-01;00:00:00;2011-08-04;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for August 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Daily Discharge;=;55507;lb/day;;;;2011-09-01;00:00:00;2011-09-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for September 2011;;;Los Angeles River
R-4;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;672;mg/L;25,0;25,0;25,0;2011-08-09;09:15:00;2011-08-10;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for August 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;55507;lb/day;;;;2011-09-30;00:00:00;2011-09-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for September 2011;;;Los Angeles River
R-7;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;634;mg/L;25,0;25,0;25,0;2011-08-09;09:30:00;2011-08-10;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for August 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Daily Discharge;=;52237;lb/day;;;;2011-10-01;00:00:00;2011-10-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for October 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;528;mg/L;25,0;;25,0;2011-08-31;00:00:00;2011-08-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for August 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;52237;lb/day;;;;2011-10-31;00:00:00;2011-10-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for October 2011;;;Los Angeles River
