metodo,rmse_holdout_antes_com_pdsi,rmse_holdout_depois_finetuning,rmse_holdout_variacao_pct,mae_holdout_antes_com_pdsi,mae_holdout_depois_finetuning,mae_holdout_variacao_pct,r2_holdout_antes_com_pdsi,r2_holdout_depois_finetuning,r2_holdout_variacao_pct,tendencia_mgL_ano_antes_com_pdsi,tendencia_mgL_ano_depois_finetuning,tendencia_mgL_ano_variacao_pct,cv_rmse_media_antes_com_pdsi,cv_rmse_media_depois_finetuning,cv_rmse_media_variacao_pct,mase_holdout_antes_com_pdsi,mase_holdout_depois_finetuning,mase_holdout_variacao_pct
random_forest,39.97919968348473,42.71971828108008,6.8548610759895885,32.97272456709962,35.111060136622655,6.4851649282773565,-0.0166860703135842,-0.1608482241252127,-863.9670761441384,-0.6964445807415582,1.0043164628913757,244.20622841547598,63.74493380500068,69.23984026397571,8.62014615276605,0.6473853351390092,0.6811919690036268,5.222026516457695
xgboost,42.699206814999314,40.45340566849258,-5.25958516334274,33.775169372558594,32.51592000325521,-3.7283288069207696,-0.1597337512919789,-0.040947581513922415,74.36510369115796,-1.8747535814186853,1.6225132101119761,186.54541195137597,77.55756031015822,75.99720869995245,-2.0118626784620526,0.5304440042286696,0.4307922540655873,-18.786478755281266
lightgbm,43.73271891130206,46.53493467787172,6.407595585934332,37.004508759785146,37.28608000655167,0.7609106463062255,-0.216554693974343,-0.3774533465332004,-74.29931423140631,-0.892397271519993,-1.2768978451658897,-43.086256078639565,65.10321633512959,72.39509313691937,11.200486262082107,0.4892502238517094,0.6668016313684636,36.29051124779242
regressao_quantilica_q50,49.88448369327029,49.88448369327029,0.0,40.52715777397902,40.52715777397902,0.0,,,,2.955474344330184,2.9554743443301836,-1.502598764567212e-14,69.28043579019257,69.28043579019257,0.0,0.5318142220924804,0.5318142220924804,0.0
