par,n_meses,bruta_pearson_r,bruta_pearson_p,bruta_spearman_rho,bruta_spearman_p,destend_pearson_r,destend_pearson_p,destend_spearman_rho,destend_spearman_p,script,data_execucao
tds_amonia,182,0.24736697611673286,0.0007608814760376176,0.22958518340731618,0.0018227714936166319,0.17468950418873905,0.018343118904936957,0.1763686001526777,0.017235301696372513,script_06_correlacao_tds_amonia_bod,2026-08-13T17:01:12
tds_bod_mdl2,181,-0.05460211584894553,0.46535850915578714,-0.0506144095363001,0.49861952001663196,-0.0792240721030695,0.2890837244721483,-0.07658106166393458,0.30552345494533056,script_06_correlacao_tds_amonia_bod,2026-08-13T17:01:12
tds_bod_zero,181,-0.04460821162811787,0.5509873992334926,-0.0506144095363001,0.49861952001663196,-0.06848396618207435,0.3596405164404809,-0.07658106166393458,0.30552345494533056,script_06_correlacao_tds_amonia_bod,2026-08-13T17:01:12
tds_bod_ros,181,-0.082870910182023,0.2673875998399131,-0.0506144095363001,0.49861952001663196,-0.10810877125041306,0.14744169116019087,-0.07658106166393458,0.30552345494533056,script_06_correlacao_tds_amonia_bod,2026-08-13T17:01:12
