parametro,n,media,mediana,min,max,std,pct_capacidade_nominal,n_fora_faixa_plausivel,pct_fora_faixa_plausivel
TDS,182,9.486256338219993,9.27881835267683,3.2100364724297736,17.213437042573734,2.7989602761786068,47.43128169109997,0,0.0
Chloride,182,9.487663703155887,9.278772324743656,3.210159145410944,17.21361372440509,2.779513007999986,47.43831851577943,0,0.0
Ammonia,107,8.368201691464789,8.329699876462467,3.2091973480039493,15.349364344141128,2.34498269790395,41.841008457323944,0,0.0
BOD,63,9.08955375382234,8.792965627498003,4.396482813749001,15.987210231814549,2.4427219507328575,45.447768769111704,0,0.0
