ano_relatorio;fonte;tds_medio_mg_L;tds_min_mg_L;tds_max_mg_L;pct_abastecimento_cidade
2018;MWD_total_agregado;;;;65
2018;Local_Groundwater_agregado;;;;13
2018;Recycled_agregado;;;;2
2019;LA Aqueduct Filtration Plant;172;108;230;44
2019;Northern Combined Wells;380;240;470;
2019;Southern Combined Wells;380;260;560;
2019;MWD Weymouth;500;460;540;
2019;MWD Diemer;510;470;550;
2019;MWD Jensen;320;290;350;
2019;MWD_total_agregado;;;;40
2019;Local_Groundwater_agregado;;;;14
2019;Recycled_agregado;;;;2
2020;LA Aqueduct Filtration Plant;246;198;289;28
2020;Northern Combined Wells;410;250;480;
2020;Southern Combined Wells;410;280;570;
2020;MWD Weymouth;580;540;620;
2020;MWD Diemer;590;550;630;
2020;MWD Jensen;340;310;370;
2020;MWD_total_agregado;;;;58
2020;Local_Groundwater_agregado;;;;12
2020;Recycled_agregado;;;;2
2021;LA Aqueduct Filtration Plant;213;150;260;20
2021;Northern Combined Wells;400;260;470;
2021;Southern Combined Wells;400;270;560;
2021;MWD Weymouth;600;560;640;
2021;MWD Diemer;610;570;650;
2021;MWD Jensen;360;330;390;
2021;MWD_total_agregado;;;;65
2021;Local_Groundwater_agregado;;;;13
2021;Recycled_agregado;;;;2
2022;LA Aqueduct Filtration Plant;260;220;300;15
2022;Northern Combined Wells;400;260;470;
2022;Southern Combined Wells;400;280;560;
2022;MWD Weymouth;610;580;650;
2022;MWD Diemer;620;590;660;
2022;MWD Jensen;340;310;370;
2022;MWD_total_agregado;;;;70
2022;Local_Groundwater_agregado;;;;13
2022;Recycled_agregado;;;;2
2023;LA Aqueduct Filtration Plant;190;140;240;45
2023;Northern Combined Wells;380;250;450;
2023;Southern Combined Wells;380;260;540;
2023;MWD Weymouth;570;530;610;
2023;MWD Diemer;580;540;620;
2023;MWD Jensen;310;280;340;
2023;MWD_total_agregado;;;;40
2023;Local_Groundwater_agregado;;;;13
2023;Recycled_agregado;;;;2
