Data,vazao_mgd_TDS,vazao_mgd_Chloride,vazao_mgd_Ammonia,vazao_mgd_BOD
2011-02-28,14.618505195843325,14.618305355715428,,
2011-03-31,17.213437042573734,17.21361372440509,,
2011-04-30,15.849212521874394,15.84942572257983,,
2011-05-31,11.636145628951384,11.636195630651443,,
2011-06-30,13.341395848838172,13.341868877779133,,
2011-07-31,10.934018742452846,10.934153440606295,,
2011-08-31,11.836894121066784,11.836402437682882,,
2011-09-30,11.43559379300683,11.435729465208322,,
2011-10-31,14.043563355593552,14.043281503829194,,
2011-11-30,15.447915640090669,15.447825226057686,,
2011-12-31,15.849209882908005,15.848960176121398,,
2012-01-31,14.244190854213182,14.244604316546763,,
2012-02-29,15.949648308109365,15.949383350462488,,
2012-03-31,14.34458884505299,14.344803227185695,,
2012-04-30,14.344670443047555,14.344554890438795,,
2012-05-31,13.742624321595354,13.742438884713126,,
2012-06-30,11.435458047556125,11.43529620747846,,10.79136690647482
2012-07-31,10.031193794964029,10.030725419664268,,9.192645883293366
2012-08-31,10.031108240342709,10.031086242117416,,9.992006394884093
2012-09-30,9.329066715082194,9.328707246968383,,8.992805755395684
2012-10-31,9.22871170519206,9.228837402518929,,12.390087929656275
2012-11-30,11.736436093843372,11.73644417799094,,13.589128697042366
2012-12-31,15.247292611770458,15.247801758593127,,15.987210231814549
2013-01-31,13.3413790140526,13.34106268704045,,13.98880895283773
2013-02-28,12.639300324446326,12.639203705528729,,12.390087929656275
2013-03-31,12.539072190523443,12.53900988798003,,13.189448441247002
2013-04-30,12.538929895045005,12.538658728189862,,11.191047162270184
2013-05-31,10.833645222550285,10.833333333333332,,11.191047162270184
2013-06-30,11.435560692720063,11.43546701100658,,9.992006394884093
2013-07-31,8.426258992805755,8.426502041609956,,
2013-08-31,7.5233863900381115,7.523072451130006,,
2013-09-30,7.824243398577228,7.8245096230707745,,
2013-10-31,9.429379573264464,9.429542458748234,,
2013-11-30,9.22860597316019,9.228590282136706,,
2013-12-31,13.241209358094919,13.241512053515082,,12.390087929656275
2014-01-31,10.833746795666913,10.833333333333334,,11.990407673860911
2014-02-28,11.234976515828757,11.234933621730066,,
2014-03-31,14.846082317819214,14.846043165467625,,
2014-04-30,12.03743204896999,12.037293242329214,,10.391686650679457
2014-05-31,8.727189371497454,8.727072396137144,,8.792965627498003
2014-06-30,7.9245694353608025,7.924311438423226,,7.593924860111911
2014-07-31,7.222382094324541,7.2221468108532045,,
2014-08-31,7.623635134445634,7.623774398202957,,7.9936051159072745
2014-09-30,9.128392109200924,9.128252953193002,,8.792965627498003
2014-10-31,8.727048212176529,8.727418065547562,,9.59232613908873
2014-11-30,12.137688692976255,12.137672412405646,,9.992006394884093
2014-12-31,11.636145628951384,11.636007649576541,,11.990407673860911
