Data,TDS_mgL,carga_lb_dia,vazao_mgd_TDS,vazao_mgd_chloride,t_anos,tds_previsto_vazao_chloride,tds_previsto_vazao_tds
2011-02-28,600,73151,14.618505195843325,14.618305355715428,0.0,600.0082023239918,600.0
2011-03-31,616,88433,17.213437042573734,17.21361372440509,0.08487337440109514,615.9936773294755,616.0
2011-04-30,592,78252,15.849212521874394,15.84942572257983,0.16700889801505817,591.9920366314951,591.9999999999999
2011-05-31,484,46970,11.636145628951384,11.636195630651445,0.2518822724161533,483.9979202117602,484.0
2011-06-30,580,64535,13.341395848838172,13.341868877779133,0.33401779603011633,579.979436405179,580.0
2011-07-31,564,51431,10.934018742452846,10.934153440606297,0.4188911704312115,563.9930520676376,564.0
2011-08-31,528,52124,11.836894121066784,11.836402437682882,0.5037645448323066,528.0219330855018,527.9999999999999
2011-09-30,582,55507,11.43559379300683,11.435729465208322,0.5859000684462696,581.993095217799,582.0000000000001
2011-10-31,446,52237,14.043563355593552,14.043281503829194,0.6707734428473648,446.0089513185981,446.0
2011-11-30,584,75240,15.447915640090669,15.447825226057686,0.7529089664613279,584.0034180730614,584.0
2011-12-31,614,81160,15.849209882908005,15.848960176121398,0.837782340862423,614.0096738186779,614.0000000000001
2012-01-31,580,68902,14.244190854213182,14.244604316546765,0.9226557152635181,579.9831649831649,580.0
2012-02-29,598,79546,15.949648308109364,15.949383350462488,1.002053388090349,598.0099342193583,598.0000000000001
2012-03-31,620,74173,14.34458884505299,14.344803227185697,1.0869267624914443,619.990734141126,620.0
2012-04-30,602,72020,14.344670443047557,14.344554890438795,1.1690622861054072,602.0048494129658,601.9999999999999
2012-05-31,608,69685,13.742624321595354,13.742438884713126,1.2539356605065024,608.0082041932543,608.0000000000001
2012-06-30,686,65425,11.435458047556123,11.43529620747846,1.3360711841204653,686.0097087378642,686.0000000000001
2012-07-31,512,42834,10.031193794964029,10.030725419664268,1.4209445585215605,512.0239073589839,512.0
2012-08-31,646,54044,10.031108240342707,10.031086242117416,1.5058179329226558,646.0014166814238,646.0000000000002
2012-09-30,634,49328,9.329066715082194,9.328707246968383,1.5879534565366187,634.0244302643573,634.0
2012-10-31,676,52030,9.22871170519206,9.228837402518929,1.672826830937714,675.9907928388748,676.0
2012-11-30,618,60491,11.736436093843372,11.73644417799094,1.754962354551677,617.9995743171337,618.0000000000001
2012-12-31,628,79858,15.247292611770458,15.247801758593129,1.839835728952772,627.9790301441676,627.9999999999999
2013-01-31,614,68318,13.3413790140526,13.34106268704045,1.9247091033538672,614.0145584193716,614.0
2013-02-28,680,71680,12.639300324446326,12.639203705528727,2.001368925393566,680.0051981806369,679.9999999999999
2013-03-31,580,60654,12.539072190523443,12.53900988798003,2.086242299794661,580.0028818443803,580.0
2013-04-30,616,64418,12.538929895045005,12.538658728189862,2.1683778234086244,616.0133219019983,615.9999999999999
2013-05-31,692,62524,10.833645222550285,10.833333333333332,2.2532511978097194,692.0199225235197,692.0
2013-06-30,722,68859,11.435560692720063,11.43546701100658,2.3353867214236823,722.005914773491,722.0
2013-07-31,720,50598,8.426258992805755,8.426502041609956,2.4202600958247777,719.9792327660801,720.0000000000001
