metodo,tendencia_mgL_ano,tendencia_pvalor,rmse_holdout,mae_holdout,mase_holdout,smape_holdout,cv_mase_media,r2_holdout,forecast_10y,ci90_low_10y,ci90_high_10y,forecast_15y,ci90_low_15y,ci90_high_15y,forecast_20y,ci90_low_20y,ci90_high_20y,finalista
naive,0.0,,41.9662562860528,33.25,0.4363203307567859,4.72736931952391,0.7592564352706823,-0.1202607969679703,716.0,-404.9569664697867,1836.9569664697867,716.0,-656.8862957345448,2088.8862957345445,716.0,-869.2725448181752,2301.2725448181754,False
detrend_rf,3.743706712541596,0.0047251492457397,49.81481876286093,41.35406038956585,0.4408045613651031,4.789241281033728,0.8998355034364088,-0.5784680309309536,743.4910091350504,641.0388326521318,845.943185617969,762.2095426977584,636.7317649873978,887.6873204081189,780.9280762604664,636.0388187836809,925.8173337372518,True
detrend_xgb,3.743706712541596,0.0047251492457397,51.49276508459575,41.75937065008168,0.4649904953913445,5.02598075520842,0.8618708047951633,-0.6865961634586537,752.8350697965457,579.3593987512107,926.3107408418806,780.4521481476143,567.9887097236259,992.9155865716026,790.2721369219616,544.9404901878753,1035.603783656048,False
svr,-1.739879462614203,6.256359670413827e-29,38.862433438513975,31.22482003245004,0.4899644312917926,5.291131128339496,0.7915449313342323,0.0393201895996526,707.6009037349594,635.2881291056666,781.9957527712401,704.0049194261537,616.0697298799251,783.2508467050112,702.9697269204383,629.2969916119455,776.870429965849,False
hibrido_arima_prophet,3.764605515278371,4.944853783547377e-13,46.39794287761784,37.405281941571296,0.4908476688360066,5.34653280875379,1.0468463896101123,-0.36935525579021,714.3921160886798,130.06382105738055,1501.5213012953918,738.9110697999715,-94.31822858068516,1832.2522992305392,763.4802381240854,-332.29084011568887,2176.5738590626247,True
stl_tendencia_linear,2.9173784551573982,0.0039652299604259,46.07754256798241,37.41435257725751,0.4909666974905264,5.299642666816837,1.001436678480675,-0.3505084294801699,744.7309773457379,673.3152502343338,816.1467044571419,759.3178696215249,684.1672330455881,834.4685061974617,773.9047618973119,694.3334179115963,853.4761058830276,False
xgboost,-0.907158501878928,0.1000831914517837,49.52464713481688,39.75313186645508,0.4981503584635066,5.482744690535436,0.8052806170985184,-0.5601323843002319,649.60791015625,637.6052856445312,708.139404296875,717.5686645507812,683.2332763671875,717.5686645507812,649.60791015625,637.6052856445312,708.139404296875,False
sarimax_cloreto,8.110698245227885,4.230158128253315e-32,49.71919374613651,38.281636609431104,0.502347559318438,5.474039435309183,0.943707537901574,-0.5724137618738325,778.0904320567763,271.44485758553805,1284.7360065280145,819.7969029907997,142.4009741643249,1497.1928318172745,861.5033739248232,17.830060084927027,1705.1766877647194,False
sarima,10.43427854074785,1.771610410816036e-46,48.37718264228132,38.37766289946543,0.5036076562396147,5.469271525966309,1.0677126359792772,-0.4886747647052512,815.7925611763861,130.06382105738055,1501.5213012953918,868.967035324927,-94.31822858068516,1832.2522992305392,922.141509473468,-332.29084011568887,2176.5738590626247,False
regressao_bayesiana,3.7420048006760407,0.0024999999999999,49.29045059889449,39.40477280117919,0.5165992235059271,5.567229145005409,0.981302863739217,-0.5454119210137525,758.2095854418662,624.2308678180779,893.0960875078031,778.7281343817336,636.4230144637219,917.1505544744437,797.6584312375343,658.1146696301304,937.7996283620168,True
